,﻿achieve_1,achieve_2,achieve_3,achieve_4,achieve_5,achieve_6,self_1,self_2,self_3,self_4,self_5,self_6,self_7,self_8,curio_1,curio_2,curio_3,curio_4,curio_5,curio_6,curio_7,curio_8,curio_9,curio_10,curio_11,info_1,info_2,info_3,info_4,info_5,info_6,inter_d_1,inter_d_2,inter_d_3,inter_d_4,inter_d_5,inter_d_6,inter_d_7,inter_d_8,deci_1,deci_2,deci_3,deci_4,deci_5
33,3,2,2,0,4,0,3,3,3,3,3,0,0,1,2,4,4,3,0,2,0,1,2,0,0,0,1,1,2,1,1,3,1,1,1,2,1,1,0,4,3,2,3,2
34,3,2,1,2,3,3,2,2,3,2,2,2,1,2,1,1,1,1,1,1,1,1,0,1,1,1,1,2,1,1,1,2,2,3,1,2,2,2,1,2,3,3,2,3
35,3,3,2,2,2,3,3,1,3,1,2,1,2,3,3,1,1,1,1,0,1,2,3,0,1,0,0,0,3,0,4,1,1,2,1,2,1,1,1,1,3,2,3,4
36,4,1,3,3,2,0,2,2,2,2,2,0,2,1,2,1,1,0,1,2,1,2,0,0,1,0,2,2,1,1,2,2,2,2,2,1,1,1,2,3,4,4,4,3
37,0,3,3,3,1,2,3,1,2,4,3,1,1,1,1,1,3,0,3,2,1,2,1,3,3,3,0,0,1,1,1,1,1,2,3,3,3,0,1,1,1,3,1,2
38,2,2,1,1,2,2,2,2,2,2,3,1,1,1,1,2,3,4,3,0,2,1,2,4,0,1,1,2,1,1,0,1,1,3,3,1,1,1,3,3,3,1,3,0
39,1,1,1,1,2,1,2,1,1,2,1,1,1,1,2,2,1,1,1,2,1,1,2,2,2,1,1,2,2,2,2,3,2,3,3,2,2,2,2,3,3,2,2,3
40,2,1,2,2,2,2,1,1,2,2,2,1,2,3,3,3,3,1,0,1,2,0,2,1,3,1,1,0,2,1,1,2,1,3,0,1,0,2,1,4,3,3,4,3
41,1,1,1,1,2,3,2,3,3,3,3,3,1,4,2,2,3,2,0,1,1,2,3,0,1,0,0,0,1,0,1,3,4,2,3,1,3,2,2,1,2,1,1,2
42,0,3,4,3,2,2,2,3,1,2,3,0,0,4,0,1,0,2,1,0,4,0,3,2,1,2,0,2,2,0,3,2,0,1,2,1,0,3,2,2,4,4,1,3
43,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,1,1,2,1,1,2,1,1,2,2,1,1,1,1,2,2,4,2,3,2,1,2,2,2,2,2,2,2,2
44,0,2,4,4,1,1,3,4,3,2,3,3,1,3,3,3,3,3,2,2,3,0,4,1,3,0,1,1,1,0,2,0,1,0,3,0,0,0,0,4,0,0,0,3
45,1,1,3,2,1,1,3,1,1,2,3,2,1,2,3,3,3,1,1,2,2,2,2,1,2,1,1,2,1,1,1,2,1,1,1,2,1,2,1,2,3,3,3,2
46,1,1,4,0,2,1,2,2,2,2,3,2,2,1,2,2,2,0,2,3,2,2,2,0,2,2,2,2,2,1,2,1,0,2,1,2,2,2,2,1,2,3,4,1
47,4,4,3,0,3,0,2,1,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,3,2,0,3,3,0,3,4,4,4,3
48,3,2,3,2,3,3,2,2,2,2,3,1,3,3,1,2,2,2,2,2,3,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,2
49,3,2,3,3,2,1,4,3,4,0,3,0,3,3,3,3,0,3,1,0,1,1,4,1,1,0,0,0,0,0,0,1,2,3,1,1,0,2,3,1,3,4,3,3
50,2,2,4,2,3,2,2,4,3,2,4,4,2,3,3,3,4,0,4,3,2,2,1,2,2,0,1,2,0,2,1,0,0,0,1,0,0,0,0,2,0,0,1,4
51,2,2,3,2,2,2,3,2,1,1,1,1,1,4,0,0,1,2,3,1,1,2,0,2,1,1,1,0,2,2,2,4,3,3,2,2,1,1,1,3,2,3,3,3
52,3,2,2,2,1,2,1,2,2,2,3,2,1,1,1,2,1,2,1,2,1,2,2,1,2,0,1,1,2,1,2,3,3,1,3,1,1,3,4,3,0,2,3,2
53,2,0,2,2,2,0,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
54,1,2,2,0,2,2,1,2,2,2,3,3,1,2,1,1,0,1,2,2,1,2,0,3,1,1,1,1,1,3,2,2,3,3,3,1,2,1,0,2,4,4,4,3
55,4,2,3,1,2,3,2,2,1,2,2,1,2,3,3,2,3,0,0,2,0,4,3,0,0,0,1,0,0,0,0,3,4,4,2,3,1,2,1,2,2,2,2,4
56,2,1,1,1,3,1,3,3,3,2,3,1,1,1,1,1,3,3,1,1,1,1,3,3,1,3,2,1,3,1,1,1,1,1,1,1,0,3,1,3,3,3,2,4
57,2,2,0,0,2,3,2,2,2,1,1,1,2,2,2,2,1,2,1,2,3,2,3,2,2,1,1,1,2,2,2,1,1,1,1,1,0,2,1,4,4,4,4,3
58,1,1,1,0,2,2,3,4,1,3,3,3,0,4,2,2,3,1,1,2,1,2,1,4,1,1,0,1,2,1,2,2,1,1,1,1,0,2,1,4,3,3,4,3
59,1,2,3,2,1,3,3,3,2,3,3,2,1,1,0,1,3,0,4,3,1,2,4,2,0,0,1,0,1,0,1,3,2,3,0,3,1,1,3,2,2,2,3,3
60,2,3,3,0,4,2,2,4,2,2,4,1,2,2,2,1,4,0,0,0,4,0,3,0,0,0,0,0,0,0,0,3,3,2,2,2,1,2,1,4,2,4,4,4
61,3,2,2,2,2,2,0,1,1,3,2,1,1,2,1,2,1,2,1,2,1,3,3,1,1,0,1,1,1,1,2,3,3,1,3,2,2,2,1,4,3,3,3,3
62,1,1,2,1,2,3,1,0,1,3,4,0,3,3,3,1,3,3,0,2,2,1,4,3,3,1,1,0,0,1,0,3,1,2,1,1,1,1,4,4,4,4,1,1
63,2,2,2,2,1,3,2,2,2,3,3,1,1,3,1,1,1,1,1,2,1,1,2,1,1,1,2,1,2,1,1,2,2,3,2,2,2,0,1,3,3,4,3,4
64,2,2,3,2,2,2,3,3,2,2,2,2,2,2,2,1,2,2,1,2,1,2,3,1,1,1,1,1,1,2,2,3,1,2,2,2,1,1,1,3,1,3,2,2
65,3,2,2,2,2,2,2,1,0,2,0,0,0,2,2,1,0,2,1,2,2,2,2,2,2,2,2,2,2,1,2,4,2,2,2,2,2,2,2,4,2,2,4,2
66,2,1,2,2,1,2,2,1,2,2,2,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3
